Central Asia,Transitional Chaos,GDP_Low,Mil_Low
Caucasus,Transitional Chaos,GDP_Low,Mil_Med
Caucasus,Transitional Chaos,GDP_Low,Mil_Med
Eastern Europe,Transitional Chaos,GDP_Med,Mil_Med
Eastern Europe,Transitional Chaos,GDP_High,Mil_High
Central Asia,Transitional Chaos,GDP_Med,Mil_Low
Central Asia,Transitional Chaos,GDP_Low,Mil_Low
Baltics,Transitional Chaos,GDP_High,Mil_Low
Baltics,Transitional Chaos,GDP_Med,Mil_Low
Baltics,Transitional Chaos,GDP_Med,Mil_Low
Caucasus,Transitional Chaos,GDP_Low,Mil_Med
Caucasus,Transitional Chaos,GDP_Low,Mil_High
Eastern Europe,Transitional Chaos,GDP_Low,Mil_High
Eastern Europe,Transitional Chaos,GDP_Low,Mil_Low
Eastern Europe,Transitional Chaos,GDP_Med,Mil_High
Eastern Europe,Transitional Chaos,GDP_Low,Mil_Low
Central Asia,Transitional Chaos,GDP_Med,Mil_Low
Central Asia,Transitional Chaos,GDP_Low,Mil_Low
Central Asia,Transitional Chaos,GDP_Low,Mil_Med
Central Asia,Transitional Chaos,GDP_Low,Mil_Med
Baltics,Transitional Chaos,GDP_High,Mil_Low
Baltics,Transitional Chaos,GDP_Med,Mil_Low
Baltics,Transitional Chaos,GDP_Med,Mil_Low
Caucasus,Transitional Chaos,GDP_Low,Mil_Med
Eastern Europe,Transitional Chaos,GDP_Low,Mil_High
Eastern Europe,Transitional Chaos,GDP_Low,Mil_Low
Eastern Europe,Transitional Chaos,GDP_Med,Mil_High
Eastern Europe,Transitional Chaos,GDP_Low,Mil_Med
Central Asia,Transitional Chaos,GDP_Med,Mil_Low
Central Asia,Transitional Chaos,GDP_Low,Mil_Low
Central Asia,Transitional Chaos,GDP_Low,Mil_Med
Central Asia,Transitional Chaos,GDP_Low,Mil_Low
Baltics,Transitional Chaos,GDP_High,Mil_Low
Baltics,Transitional Chaos,GDP_Med,Mil_Low
Baltics,Transitional Chaos,GDP_Med,Mil_Low
Caucasus,Transitional Chaos,GDP_Low,Mil_High
Caucasus,Transitional Chaos,GDP_Low,Mil_High
Eastern Europe,Transitional Chaos,GDP_Low,Mil_Med
Eastern Europe,Transitional Chaos,GDP_Low,Mil_Low
Eastern Europe,Transitional Chaos,GDP_Med,Mil_High
Eastern Europe,Transitional Chaos,GDP_Low,Mil_High
